Description,Narrative
TEACHING GUIDES (Myocardial Infarction),"PATHOPHYSIOLOGY:
A myocardial infarction results from reduced or blocked blood flow through one of the coronary arteries to the myocardial tissue. This blockage causes death or the heart tissue.

FACTORS THAT MAY INCREASE RISK OF MYOCARDIAL INFARCTION BUT CANNOT BE CHANGED:
Increasing age. Gender ( men are at grater risk) Heredity, which includes individual family history and race.

RISK FACTORS THAT CAN BE MODIFIED TO DECREASE RISK FOR HEART DISEASE:
Use of tobacco products. High blood cholesterol. High blood pressure. Physical inactivity. obesity. Diabetes mellitus. Stress. Alcohol abuse.

S/SX:
Chest discomfort or pain often described as an uncomfortable pressure, crushing or squeezing pain, or substernal pain. Pain usually occurs in the middle of chest. Discomfort or pain in one or both arms, back, neck, jaw or stomach. Shortness of breath. Complaints of nausea, lightheartedness, or sweating. Anxiety or feeling of dread. 

KNOW WHAT TO DO IF SIGNS OF MYOCARDIAL INFARCTION OCCUR:
Remain calm and assist client into comfortable position. Call 911. Follow any previous instructions from physician regarding medication to be used physician regarding medication to be used in this type of emergency. If the client loses consciousness and no pulse is found, cardiopulmonary resuscitation should begin and continue until trained help arrives.

MEASURES TO PREVENT:
Explain the medication treatment plan ordered by physician. Understanding the medication regimen will promote compliance. Lose weight if overweight (weight-loss diet guide). Follow the cardiac disease dietary recommendation of low-fat, low-cholesterol, and low-sodium diet (give related teaching guides). Encourage client to participate in a cardiac rehabilitation program. Understand physical limitations as dictated by physician and cardiac rehabilitation program. Clarify when and how to resume sexual activity. Monitor blood pressure and pulse. Avoid alcohol. avoid use of tobacco products (tobacco-cessation guide).
 Learn and use stress-management techniques (stress-management techniques (stress-management guide). Learn what symptoms to report to physician immediately, such as chest pain, shortness of breath, or changes in blood pressure or pulse. Monitor and report symptoms of depression to physician. Use Medic Alert cards or bracelets indicating health history and medications.


POSSIBLE COMPLICATIONS:
Dysrhythmias. Cardiogenic shock. Arterial or pulmonary embolism. Pericarditis. Mitral insufficiency."
TEACHING GUIDES (Osteoarthritis),"PATHOPHYSIOLOGY:
It is a degenerative, noninflammatory joint disease. The cartilage that protects the ends of bones is worn away. It can affect all mobile joints, especially weight-bearing joints: hip, knee, and spinal column.

RISK FACTORS:
Advanced age. Trauma. Overuse of joints. Genetic tendency. Obesity. Metabolic or endocrine abnormalities.

S/SX:
Aching pain that increases with activity and is usually relieved with rest. Stiffness on rising. Heberden's nodes (nodular bony enlargements within the joint). Fatigue. Decreased exercise tolerance. Crepitus (creaking or grating upon joint movement). Restriction of joint movement.

MEASURES TO PREVENT:
Exercise regularly: -Always get physician's permission. -Exercise daily at a slow steady pace using range of motion. -Never exercise a hot, inflamed joint. -Set realistic goals. 
-Balance work with rest. -Stop exercise if pain occurs. -Avoid prolonged walking, sitting , or standing. Obtain adequate nutrition: -Control weight to prevent increased pressure on the joints. -Eat well-balanced meals. -Avoid quackery diets. -Avoid excess sugar and salt. Use stress-managements techniques. Apply heat or cold as ordered by physician. Follow safety measures to prevent falls and injury. Take medications as ordered by physician. -Discuss pain control issues with physician. Use self-help hints and devices as ordered (i.e., splints, braces, walker, and cane). Use self-help hints and devices. Follow good body mechanics and proper posture. Obtain adequate rest. Dress warmly and war gloves in cold  weather. Report to physician increased pain, edema, or fatigue. Keep follow-up appointments with physician.


POSSIBLES COMPLICATIONS:
Loss of range of motion. Muscle wasting. Decreases mobility. Contractures."
TEACHING GUIDES (Osteomyelitis),"PATHOPHYSIOLOGY:
It is an acute or chronic infection of the bone. I can be difficult to cure because of limited blood supply and may persist for years.

Direct infection caused by surgery, penetrating wound, or compound fracture. Indirect infection caused by an infection elsewhere in the body.

S/SX OF OSTEOMYELITIS:
Fever. Pain in the area of the infection. Warmth. Swelling and redness over the area of the infection. Tiredness. Drainage from an open wound near the area of the infection.

RISK FACTORS:
Malnourishment. Older. Diseases that may cause decreased resistance (i.e., diabetes, kidney, disease, liver cirrhosis, and rheumatoid arthritis). Situations that can create more risk for bone infections are as follows: -Illegally injectable drugs use. -Dialysis. -Use of Foley catheters. -Central lines for intravenous therapies.

MEASURES TO PREVENT:
Obtain adequate nutrition. -Eat foods high in vitamin D, B vitamin complex, vitamin C, phosphorous, and magnesium. -Take vitamin and mineral supplements as needed. -Eat a well-balanced diet high in protein. -Drink fluids to 3 liters per day unless contraindicated. Provide relief of pain. -Take pain medication as needed. -Splint or immobilize affected part as needed. -Use a foot cradle to keep weight of blankets off extremity. -Use good body alignment. Prevent infection. -Avoid exposure to persons with infection. -Change dressing with sterile technique as instructed. - Use good hand-washing techniques. Take medications as ordered (long-term antibiotic therapy). Elevate extremity to decrease swelling. Follow limited weight-bearing ambulation as ordered. Use assistive devices as instructed. Plan frequent rest periods to promote healing. Keep follow-up appointments with physician as instructed. Report signs of infection's getting worse (i.e., additional tender areas, increase in fever, or increase in drainage). Do not smoke. Smoking decreases blood flow to hands and feet.

POSSIBLE COMPLICATIONS:
-Pathological fracture. -Bone deformity. -Sepsis. -Bone abscess
"
TEACHING GUIDES (Osteoporosis),"PATHOPHYSIOLOGY:
It is a bone disorder in which the reabsorption of bone exceeds the formation of  bone. It results in decreased bone mass and bone density causing bones to be brittle.

RISK FACTORS:
Menopause. Advancing age. Limited mobility or sedentary lifestyle. Alcohol and nicotine abuse (decreases calcium absorption and retention). Family history. Eating disorders. Inadequate dietary intake of calcium. High intake of caffeine. Various diseases, such as liver or kidney disease and chronic obstructive pulmonary disease. Certain medications such as antacids, corticosteroids, and heparin. A diet low in calcium and vitamin D and high in phosphorous. Following bariatric surgery. Men, who can develop osteoporosis but much less often.

S/SX OF OSTEOPOROSIS:
Curvature of the spine. Loss of height. Backache. Frequent fractures-most often fractures of spine, hips, or wrists. Decreased density of bone. Decreased strength in muscles and joints.

MEASURES TO PREVENT OSTEOPOROSIS:
Bone density tests for evaluation and diagnosis. Exercise con help build bone strength and slow bone loss.

 Exercise suggestions: Do weight-bearing exercises such as walking, jogging, running, and stair climbing. Avoid types of exercise that may increase fractures.  Increase exercise gradually, and plan regular rest periods. Exercise in the sunlight  to increase vitamin D. 

Eat a well-balanced diet high in calcium, protein, and vitamin D. -Foods high in calcium include milk, yogurt, cheese, salmon, sardines, and dark green vegetables. -Sources of vitamin D include fortified milk, liver, butter, and eggs. -Read labels for products enriched with calcium and vitamin D. -Take calcium and vitamin D supplements as ordered. -Limit caffeine. -Avoid excessive alcohol. -Add soy products to diet. Drink plenty of fluids and increase fiber. Calcium supplements can cause gas and constipation. Start supplements gradually to help with these symptoms.

Follow safety precautions to prevent falls and injuries. -Use good body mechanics and proper posture. -Wear well-fitting nonskid shoes. -Use a cane or walker as indicated to prevent falls. -Use handrails. -Use good lighting and night lights. -Avoid clutter and keep walkways clear.

Use a firm, supportive mattress. take medications as ordered. -Discuss with your physician the benefits of hormone therapy for you and your individual health needs. -Discuss pain control issues. Keep follow-up appointments with physician. Do not smoke. Report to physician signs and symptoms of deformity, pain, edema, decreased range of motion, or paralysis.

POSSIBLES COMPLICATIONS:
-Fractures. -Respiratory compromise caused by kyphosis (curved spine). -Bone deformity.
"
TEACHING GUIDES (Ovarian Cancer),"DEFINE OVARIAN CANCER:
Women have two ovaries (each the size of an almond), one on each side of the uterus. Ovaries produce eggs (ova) estrogen, and progesterone. Ovarian cancer ranks fifth in cancer deaths among women. The types of ovarian rumors are: -Epithelial tumors develop in the layer of tissue that covers the ovaries. About 80% to 90% of ovarian cancers develop here. It is most common in postmenopausal women. Germ cell tumors develop in the egg producing cells ans usually occur in younger women. Stromal tumors develop in the estrogen and progesterone producing tissue.

S/SX:
Symptoms are nonspecific and can appear like those of other common conditions. Symptoms are persistent and gradually worsen. There is abdominal swelling and sense of bloating or fullness and increased abdominal girth with normal clothing fitting tightly. There is pain in lower abdomen and pelvic area (sometimes lower back). There is unexplained weight loss or gain. There is a lack of energy. There are gastrointestinal complaints, such as indigestion, gas, nausea, diarrhea, or constipation. There are urinary complaints such as frequency or feeling of urgency to avoid. There are menstrual changes and abnormal uterine bleeding.

RISK FACTORS:
Inherited gen mutation. family history. Age. Most ovarian cancers develop after menopause but can occur earlier. Childbearing status. Women with at least one pregnancy have a lower risk. Infertility increases the risk. Ovarian cysts that form after menopause are more likely cancerous. Obesity in early adulthood. It is also linked to a more aggressive type of ovarian cancer.

STAGES OF OVARIAN CANCER:
Stage I is confined to one or both ovaries. Stage II has spread to locations in the pelvis such as uterus or fallopian tubes. Stage III has spread to the lining of the abdomen or to the lymph nodes. This typically is when ovarian cancer is diagnosed. Stage IV es when the cancer has spread beyond the abdomen.

METHODS OF SCREENING FOR OVARIAN CANCER:
Regular pelvic exams. Ultrasound of pelvis. CA 125 blood test. pelvic CT or MRI. Laparotomy or laparoscopy to obtain samples of abdominal fluid and/or ovary tissue.

MEASURES TO MANAGE AND TREAT OVARIAN CANCER:
Have surgery. Have chemotherapy. 
eat protein-rich foods. eat smaller amount of food more frequently. eat nutritionally dense foods. Reduce stress. Be informed and learn what to expect. Build and maintain a support system."
TEACHING GUIDES (Pancreatitis),"UNDERSTANDING OF ANATOMY AND PHYSIOLOGY OF THE PANCREAS:
It is located behind the stomach in a horizontal position, with the head attached to the small intestine and the tail reaching to the spleen. The pancreas excretes a digestive juice that is emptied into the small intestine. The pancreas also produces two hormones: insulin and glucagon.

DEFINE PANCREATITIS:
It is an inflammation of the pancreas that may be acute or chronic. Damage to the pancreas is caused by premature activation of enzymes. Chronic pancreatitis is progressive destruction of pancreatic tissue replaced by fibrotic tissue.

RISK FACTORS:
Alcohol abuse (accounts for most chronic pancreatitis). Gallbladder disease. Drug toxicity. A higher risk in African Americans. A higher risk in men than women. Cystic fibrosis.

S/SX:
Pain. Pain usually has a sudden, severe onset after ingestion of a heavy meal or alcohol. Pain is located in left upper quadrant of abdomen or mid to upper abdomen and may radiate to the back. Nausea or vomiting. Abdominal rigidity and tenderness. Fever and/or chills. Sweating and clammy skin. Low blood pressure. Fast heart rate. Respiratory distress. Mild jaundice. Weight loss.

RECOGNIZE SYMPTOMS OF CHRONIC PANCREATITIS:
Dull, aching chronic epigastric pain. Jaundice. Impaired glucose tolerance. Frothy, foul-smelling stools. Weight loss. Nausea and vomiting. Symptoms of diabetes mellitus.


MEASURES TO PREVENT:
"
TEACHING GUIDES (Parkinson's Disease),"PATHOPHYSIOLOGY:
It is a chronic, progressive central nervous system disorder caused by a defect in the cell of the brain that produce dopamine. Dopamine es a chemical substance that enables nerve cells to send messages to other nerve cells. It affects the voluntary muscle causing difficulty with movement and posture. Emotional stress, infection, overwork, and exposure to cold can make symptoms worse.

RISK FACTORS:
A. Carbon monoxide and manganese poisoning
B. Encephalitis
C.Positive family history
D.Tumors of the midbrain 
E. Men more likely to have Parkinson's than women
F. Exposure to pesticides and herbicides

S/SX OF PARKINSON'S DISEASE
Muscle rigidity and weakness. Tremors that decrease on purposeful movements. Slowed movements. Rigid muscle, which are most often seen in limbs and neck and create a mask-like facial expression. Loss of automatic movements like blinking, smiling, and swinging arms when walking. Impaired balance. Slow, soft and possibly mumbling speech. Difficulty swallowing. Dementia, including memory loss, impaired judgment, and personality change.

MEASURES TO PREVENTS:
Exercise daily with regular rest periods. Pick time to exercise when medication es working well. Stretch before and after exercise to prevent stiffness and improve flexibility. Evaluate home environment for potential dangers. Wear good pair of walking shoes, not running shoes. Practice taking long steps, and stand up straight with your head over your hips and feet 8 to 10 inches apart. Advise to use cane or other assistive device for help with balance. Keep appointments for therapy. Ask physician or physical therapist about exercises that improve balance.

Do speech therapy as indicated. Face the person you are talking to. Deliberately speak louder than you think is necessary. Practice reading or reciting out loud, focusing on your breathing. Speak for yourself-do not let others speak for you.

Eat small, frequent meals to prevent exhaustion. Eat a high-calorie diet to prevent weight loss. Eat a high-fiber diet to prevent constipation. Eat plenty of fruits, vegetables, and whole grains to boost fiber content. if using fiber supplement, be sure to start gradually and drink plenty of fluids (up to 2,000 ml per day). Avoid caffeine.

Allow plenty of time to dress. Lay clothes nearby. Use clothes that can be slipped on easily (sweat, pants, dresses, or pants with elastic waistbands). Wear clothes and shoes with fabric fasteners (Velcro, etc.) or replace buttons with fabric fasteners. Build and maintain support system. Engage in social and diversional activities to promote emotional and physical well-being. Minimize work-related stress. The Americans with Disabilities Act requires your employer to make reasonable accommodations. Keep follow-up appointments with physician. 

Medication considerations, take as ordered. Schedule taking medications to achieve peak effect when mobility needed. Use of chewing gum or eating hard candy to ease mouth dryness (possible side effect of medication). Wear a medical alert bracelet.

POSSIBLE COMPLICATIONS:
A. Injury from falls
B. Urinary problems
C. Constipation
D. Depression
E. Seep disorders
F. Sexual dysfunction
G. Medication to treat Parkinson's may cause side effects:
      - Involuntary twitching of jerking movements of arms and legs,hallucinations, sleepiness, orthostatic ,hypotension ( drop in blood pressure when standing up). 
      "
TEACHING GUIDES (Peptic Ulcer),"DESCRIBE ANATOMY AND CAUSE OF A PEPTIC ULCER:
A peptic ulcer is a sore in the lining of the stomach or duodenum (the first part of the small intestine). It is also called duodenal or gastric ulcer. Causes of peptic ulcers: -Acids that help digest foods can also damage the walls of the stomach or duodenum. -Most commonly an infection with a bacterium called Helicobacter pylori. -Long-term use of non-steroidal anti-inflammatory medicines (NSAIDs) which includes prescription medicine and nonprescription NSAIDs such as aspirin, ibuprofen, and naproxen. -Excessive alcohol consumption. -Smoking.

SYMPTOMS OF A PEPTIC ULCER:
Burning stomach pain. Pain that may come and go for a few days or weeks. Pain that may be noticed more when stomach is empty. Pain that usually goes away after you eat . Pain that may be worse when under stress. Pain that may start after eating spice foods.

POSSIBLE COMPLICATIONS:
Internal bleeding. Ulceration through the wall of stomach or small intestine. Peritonitis (serious infection in abdominal cavity). The formation of scar tissue leading to stricture to the passage of food.

MEASURES TO TREAT AND MANAGE THIS CONDITION:
Medications that may be used in treatment are: -Antibiotic medications are used to treat Helicobacter pylori. -Acid blockers reduce amount of acid. -Pronto pump inhibitors reduce stomach acids.-Antacids can neutralize existing stomach acid and provide pain relief. They can also be taken with acid blockers. Cytoprotective agents help to protect stomach lining. Abstain from smoking. Limit or avoid alcohol. Avoid spicy or acidic foods. Control stress. Review use of NSAIDs with physician."
TEACHING GUIDES (Peripheral Vascular Disease),"PATHOPHYSIOLOGY:
It is diminished blood supply to or form the lower extremities. It can involve either the veins or the arteries. 

S/SX:
Arterial insufficiency: -Sharp pain that increases after exercise. -Cool, pale skin. -Absent or diminished pulse in legs and feet. -Reddish-blue color of skin. Delayed healing.     Decreased capillary filling time. Venous insufficiency: -Aching, cramping-type pain.  -Edema. -Mottled and pigmented skin. -Ulcers close to the ankle.

MEASURES FOR MANAGEMENT OF DISEASE:
Prevent decreased circulation: -Avoid smoking. -Avoid constrictive clothing. -Never cross legs. -Avoid letting lower extremities to be exposed to extreme temperatures. -Avoid long periods of sitting or standing. -Eat a diet low in cholesterol, fats, and sodium (nutrition guides for specific diets). Promote increased circulation: -Walking as ordered by  physician. -Wear support hose. -Perform Buerger-Allen exercises. -Prop legs in elevated position; hold legs at approximately 45 degrees for 1 minute to drain blood. -Sit with legs dangled on side of bed. Stretch feet downward holding for 30seconds, and then stretch feet inward, outward, and upward, holding each position for 30 seconds. -Lie flat on back with legs straight for 1 minute. Prevent injury to lower extremities: -Never go barefooted. -Cut toenails carefully straight across after soaking them for 10 minutes. -Wear well-fitting shoes with hose or stockings. -Avoid scratching lower extremities. -See a podiatrist for corns, calluses, ingrown toenails, and so forth. Avoid use of hot water bottles or heating pad. -Wash feet carefully and pat dry. Observe for any redness or open areas. -Wear clean cotton socks. Take medication as ordered. Obtain laboratory test as ordered, and attend follow-up appointments with physician. 

POSSIBLE COMPLICATIONS:
Ulcer. Cellulitis. Gangrene. thrombophlebitis. Embolism."
TEACHING GUIDES (Pernicious Anemia),"DEFINE PERNICIOUS ANEMIA:
It is decreased absorption of vitamin B12 caused by a deficiency of an intrinsic factor. This causes cell destruction and low hemoglobin levels. Vitamin B12 is necessary for gastric, intestinal, and nervous system functioning.

RISK FACTORS:
Age (it typically affects people over 50 years old). Race (it typically affects those of Scandinavian origin with blue eyes). Autoimmune diseases. Diet insufficient in folic acid. Familial history. Mal-absorption syndromes. Strict vegetarian diet without B12 supplements. Pregnancy due to increased need in third trimester. Surgical removal of the stomach. Celiac disease. Metabolic disorder. Alcoholism.

S/SX:
Smooth, sore, red tongue and bleeding gums. Impaired sense of smell. Loss of appetite. Abdominal pain. Decreased sensation in hands and feet. Fatigue and weakness. Shortness of breath. Constipation or diarrhea. A lack of coordination and difficulty walking. Nausea and vomiting. Poor memory.

MEASURES TO CONTROL PERNICIOUS ANEMIA:
Take medications as prescribed. Injections of B12 are the treatment of choice. Oral supplements of vitamin B12 can be added. Vitamin B12 can be administered intranasally. Eat a well-balanced diet that is high in vitamin B12 (i.e., eggs, fish, meat, and milk). Avoid injury due to decreased sensations in hands and feet. Perform good oral and personal hygiene. Exercise regularly with regular rest periods. Keep follow-up appointments with physician and laboratory. Report signs and symptoms of infection or any re-occurrence to physician.

POSSIBLE COMPLICATIONS:
Heart failure. Increased risk for gastric polyps and gastric cancer. Persistent neurological defects if treatment is delayed."
TEACHING GUIDES (Polycythemia Vera),"DEFINE POLYCYTHEMIA VERA:
It is an abnormal increase in blood cells (white blood cells, red blood cells, and platelets). It happens when the bone marrow overproduces all three blood cells. The blood will thicken and can form clots. It occurs more often in men than women. Most patients with this disorder are over 40 years old. The cause is unknown.

SYMPTOMS OF POLYCYTHEMIA VERA:
Symptoms are due to increased blood viscosity (thickness) and clotting: -Headache. -Dizziness. -Itchiness, especially after a warm bath. -Fullness in left upper abdomen. -Shortness of breath. -Breathing difficulty when lying down. -Symptoms of phlebitis (inflammations from blood clot). -Vision abnormalities. -Skin discoloration (red or bluish). Fatigue.

POSSIBLE COMPLICATIONS OF POLYCYTHEMIA VERA:
Leukemia. Heart failure. Gastric bleeding or peptic ulcer disease. Gout. Blood clots which increase risk of strokes and heart attacks.

MEASURES TO MANAGE THIS DISEASE:
This disease can be treated but not cured. Measures to prevent complications are as follows: -Do moderates exercise such a walking. -Do leg and ankle stretching exercises. -Use cooler water and gentle soap for bathing. -Dry skin carefully and use moisturizing lotion. avoid exposure of your hands and feet to extremes in temperature. Avoid hot tubs, tanning salons, and so forth. -Drink plenty of liquids. -Check your feet regularly, and report any open areas to physician."
TEACHING GUIDES (Prostate Cancer),"DEFINE THE PROSTATE GLAND:
It squeezes fluid into the urethra during ejaculation to aid n transport and nourishment of the sperm. It is a small walnut sized gland that surrounds the male urethra at the neck of the bladder.

GENERAL FACTS ABOUT PROSTATE CANCER:
It is a cancer of the prostate gland. It is the third leading cause of cancer related heaths in men. It is detected through digital exam. Prostate cancers grow slowly and have a high survival rate if detected early. Most prostate tumors are not cancerous.

RISK FACTORS:
Advanced age. Race (Blacks have increased risk). Hereditary. Diet high in fat. Occupation-working with cadmium, zinc, rubber, dew-axing process in oil refining. Obesity. Sexually transmitted disease.

RECOGNIZE SYMPTOMS OF PROSTATE CANCER, WHICH USUALLY ONLY APPEARS AT ADVANCED STAGES:
Frequent urination, especially at night. Difficulty stating or holding urine. Weak or interrupted urine flow . Pain or burning during urination. Blood in urine. Pain in lower back, upper pelvis, and upper thighs. Weight loss.

COMMON DIAGNOSTIC TESTS:
Digital exam. Prostate-specific antigen. Trans-rectal ultrasound. Needle biopsy with ultrasound probes. Bone scan.

STAGES OF PROSTATE CANCER:
Stage I - early cancer as seen n microscopic exam of tissue. Stage II - cancer can be felt, bur remains confined to prostate gland. Stage III - cancer has spread outside the prostate. State IV - cancer has spread to lymph nodes or organs far away from prostate such as ones, lung, or other organs.

POSSIBLE TREATMENTS:
Surgery. Radiation: -External. -Implantation. Hormone therapy.

MEASURES FOR MANAGEMENT OF DISEASE:
Eat a well-balanced diet with adequate fluid intake. Exercise daily with planned rest periods. Take medications as ordered. Keep follow-up appointments with physician including annual digital exam. Report signs of decreased output, swelling, hypertension, weight gain, ans of forth.

POSSIBLE COMPLICATIONS:
Spread of cancer. Pain. Urinary incontinence. Erectile dysfunction or impotence. Depression."
TEACHING GUIDES (Psoriasis),"DEFINE PSORIASIS:
It is a skin disease characterized by rapid growth of epidermal cells. Cells are replaced in four days instead of the normal 28 days. It is chronic with periods of remission and exacerbation. Psoriasis is no contagious.

S/SX:
Red patches of skin covered with silvery scales. dry, cracked skin that may bleed. Itching, burning, or soreness. Thickened, pitted, or ridged nails. Swollen and stiff joint. Psoriasis patches that can range in size.

SOME TRIGGERS OF PSORIASES:
Factors that may trigger psoriasis: -Infections, such as strep throat. -Injury to the skin, such as cuts, bug bites, or severe sunburn. -Stress. -Cold weather. -Smoking. -Heavy alcohol consumption. -Certain medications.

RISK FACTORS:
Familial history of psoriasis. depressed immune systems. Trauma, burns, lacerations, or chemical injuries. Anxiety and stress. Certain systemic drugs such as steroids. low-humidity environment.

MEASURES TO PREVENT OR CONTROL PSORIASIS:
Bathing: -Soak in warm tub baths to remove scales and promote cleanliness. -Add bath oil, oiled oatmeal, and Epsom salts to water ans soak for 15 minutes. Avoid hot water and harsh soaps. -Use lukewarm water and mild soaps with added oils or fats. =Blot the skin dry. Apply ointment-based moisturizer while skin is moist. Avoid or manage factors that may exacerbate condition: -Obtain early treatment for any type of infection. -Use safety precautions to avoid irritation or trauma. -Use stress- management techniques. Avoid excessive sunlight. Small amounts of sunlight can improve lesions. Obtain adequate rest, nutrition, and exercise. Humidify the air in the winter. Apply treatments as ordered using precautions as directed (topical corticosteroids, anthralin preparations, salicylic acid, crude coal tar, occlusive wraps, photochemotherapy, etc.). Provide scalp care as ordered (tar shampoo, topical steroids, etc. ). Avoid drinking alcohol.

POSSIBLE COMPLICATIONS:
Severe itching, which can lead to secondary infections. Exfoliative psoriatic state (covers entire body). Arthritis. depression and low self-esteem. Stress and anxiety.
"
TEACHING GUIDES (Pyelonephritis),"DEFINE PYELONEPHRITIS:
It is the inflammation of kidney tissue and may be acute or chronic. Chronic pyelonephritis may destroy kidney tissue permanently. It is caused by bacterial infection of the lower urinary tract.

RISK FACTORS:
Pregnancy. Testing or surgery of urinary tract or use of catheters to drain urine. Trauma to the kidney. Urinary stasis or back flow. Bladder infections. Conditions such as prostate enlargement, structural defects or ureters, or kidney stones. Neurogenic bladder. Chronic heath problems (diabetes, kidney disease, etc.).

S/SX:
Back, side, or groin pain. Nausea or vomiting. Fatigue. Pain or burning on urination. Urgent, frequent urination.  A loss of appetite. Cloudy, foul-smelling urine. Fever. Decreased urine output. Pus or blood in urine.

MEASURES TO PREVENT:
Females should follow practices to prevent urinary tract infections: -Keep perineal area clean and dry. -Wear cotton underpants and wear nonrestrictive clothing. -Wipe from front to back after bowel movement. -Urinate before and after sexual intercourse. Report early symptoms of urinary tract infection for early treatment (burning, frequency, cloudy urine, fever, and flank pain). Drink fluids, up to 3000 ml per day. Avoid caffeinated beverages and alcohol. Empty bladder routinely avoiding bladder distention. Use self-monitoring urine test for bacteria. Take antibiotics until completed. Consume acid-forming foods (such as meat, fish, poultry, eggs, grains, cranberries, prunes, and plum) to prevent stone formation. Keep follow-up physician and laboratory appointments.

POSSIBLE COMPLICATIONS:
Chronic pyelonephritis. Scarring of the kidneys. Hypertension. General bacteria infection (shock or sepsis).
"
TEACHING GUIDES (Reduced-Fat  Diets),"PATHOPHYSIOLOGY:
Fats provide energy, help in the absorption of fat-soluble vitamins, supply fatty acids, lubricate body tissues, help regulate temperature, and provide protection for some of the most vital organs in our bodies. A healthy level of dietary fat also gives flavor to our foods and provides a feeling of fullness during meal intake. High levels of fat contribute to many chronic diseases. high-fat diets greatly increase the risk of cardiovascular disease, obesity, and some types of  cancer.

RECOMMENDATIONS FOR A REDUCED-FAT DIET:
The American Heart Association, Surgeon General, American Cancer Society, and the American Diabetes Association agree on the following: -Have diets that are low in saturated fat and cholesterol and moderate in total fat. -limit fat 35% or less of the total daily calorie intake. -Limit saturated fat to less than 10% of total daily calorie intake. -Limit cholesterol to 300 mg or less daily.

MAJOR SOURCES OF DIETARY FAT:
Beef, butter (or margarine), salad dressings (including mayonnaise), cheese, and milk are the top five sources of saturated fat in the average diet.

REDUCE DIETARY FAT IN THE DIET:
Fruits-avoid avocado, coconut, and olives. Most other fruits are low in fat. Vegetables-eat and prepare vegetables wisely. Avoid fried, creamed vegetables.  Avoid cheese and dressings high in fat on vegetables. Dairy products-select low-fat or fat-free milk, yogurt, and cheese products. Drink two to three servings of low-fat milk and milk products daily. Proteins -Use plant sources of protein such as beans and nuts. -Use lean meats and trim any excess fat. -Remove skin from poultry. Avoid breading or sauces. -Limit intake of organ meats like liver. -Limit shellfish (crab, lobster, etc.) due to high cholesterol levels. Read nutrition fact labels carefully when shopping. - Use lo-fat or fat-free salad dressings. -Choose vegetable oils lower in saturated fats such as canola oil.  -Season foods with lemon juice, or spices and herbs with label of low fat/low sodium. Cooking and serving foods. -Use fats and oils sparingly when cooking or serving foods. _use low-fat sauces on rice, pasta, and potatoes. -If using some of ht commercial fat replacers, be alert for gastrointestinal side effects (cramps and diarrhea). Avoid frying foods. Instead, bake, boil, or broil them."
TEACHING GUIDES (Rheumatoid Arthritis),"PATHOPHYSIOLOGY:
It is a systemic inflammatory disorder of connective tissue and joints. It is a chronic disease characterized by remissions and exacerbation. The cause of this disease is unknown, but it is considered an autoimmune disease. Ra affects small joints. Ra strikes most often between the ages of 20 to 40 years of ages, but it can also be found in children and older adults.

S/SX:
Localized symptoms are joint pain, swelling, warmth, redness (erythema), stiffness, limited mobility of affected joints, and fluid on joints. The swelling and pain can come and go. Stiffness can occur, particularly in the morning and when sitting for long periods of time. Joints are usually affected bilaterally and symmetrically. Fatigue, weakness, loss of appetite, depression, and weight loss can occur. Flu-like symptoms are possible, including a low-grade fever. Anemia is possible. Decreased tolerance to stress can occur.

MEASURES TO MANAGE RHEUMATOID ARTHRITIS:
Adequate exercise: -Always get physician's approval for level of exercise. -Regular exercise includes: -Flexibility (stretching, range of motion). -Strengthening (resistance). -Cardiovascular (aerobic). -Exercise at a slow steady pace. -Perform active or passive range of motion exercises. -Never exercise a hot, inflamed joint. -Balance exercise with rest. -Set realistic goals. -Stop exercise or activity if pain occurs. Proper diet: -Maintain healthy weight to decrease pressure on joints. -Eat well-balanced meals that are high in protein, vitamins, zinc, and iron to promote tissue building and repair. Stress management skills. Pain control: -Apply heat or cold as ordered. Apply splints as ordered. Use transcutaneous electrical nerve stimulation as ordered. Take pain medications as ordered. Consider other alternatives, such as biofeedback, relaxation techniques, Tai Chi exercise, and pain clinics. Avoid extremes intemperature and damp, moist evironments. Physical or occupational therapy referrals. Assistive, adaptive, or protective devices (braces, splints, etc.)"
